length,task,bucket_id,bucket_start_pct,bucket_end_pct,num_examples,correct,score,avg_relative_position,invalid_position_rows,pred_file
4096,niah_single_1,0,0.0,10.0,40,40,100.0,0.0580858949759086,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,1,10.0,20.0,63,63,100.0,0.14508931172312028,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,2,20.0,30.0,56,56,100.0,0.2483238998086256,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,3,30.0,40.0,54,54,100.0,0.3532068799896709,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,4,40.0,50.0,53,53,100.0,0.4509731384981415,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,5,50.0,60.0,42,42,100.0,0.5512533673450954,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,6,60.0,70.0,47,47,100.0,0.6477040051641152,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,7,70.0,80.0,58,58,100.0,0.7463684650436216,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,8,80.0,90.0,61,61,100.0,0.8573178172004238,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_single_1,9,90.0,100.0,26,26,100.0,0.9314976237923046,0,results/exp_a/mamba/4096/niah_single_1.pred.jsonl
4096,niah_multikey_1,0,0.0,10.0,47,42,89.36170212765957,0.047197193300213866,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,1,10.0,20.0,43,25,58.13953488372093,0.1555318213028719,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,2,20.0,30.0,45,15,33.333333333333336,0.24364550504264612,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,3,30.0,40.0,65,17,26.153846153846153,0.34210028811143306,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,4,40.0,50.0,41,6,14.634146341463415,0.4451163948384101,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,5,50.0,60.0,46,15,32.608695652173914,0.5537122512905452,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,6,60.0,70.0,48,9,18.75,0.6571603494254948,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,7,70.0,80.0,60,26,43.333333333333336,0.7515939787065372,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,8,80.0,90.0,69,34,49.27536231884058,0.8526886775382956,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
4096,niah_multikey_1,9,90.0,100.0,36,29,80.55555555555556,0.9282527992428123,0,results/exp_a/mamba/4096/niah_multikey_1.pred.jsonl
8192,niah_single_1,0,0.0,10.0,41,41,100.0,0.052536186532892,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,1,10.0,20.0,58,58,100.0,0.1410889653687319,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,2,20.0,30.0,54,54,100.0,0.24926668834674698,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,3,30.0,40.0,56,56,100.0,0.3534293019691303,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,4,40.0,50.0,59,59,100.0,0.4520842712950288,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,5,50.0,60.0,46,46,100.0,0.5578457911335387,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,6,60.0,70.0,41,41,100.0,0.6494540000526746,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,7,70.0,80.0,53,53,100.0,0.7458381117658724,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,8,80.0,90.0,55,55,100.0,0.8537980926636133,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_single_1,9,90.0,100.0,37,37,100.0,0.9371069156866139,0,results/exp_a/mamba/8192/niah_single_1.pred.jsonl
8192,niah_multikey_1,0,0.0,10.0,60,3,5.0,0.04917547042465707,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,1,10.0,20.0,33,0,0.0,0.15102124523509097,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,2,20.0,30.0,40,1,2.5,0.24405149856613534,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,3,30.0,40.0,54,1,1.8518518518518519,0.3512522379053294,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,4,40.0,50.0,41,9,21.951219512195124,0.4537677134251911,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,5,50.0,60.0,58,13,22.413793103448278,0.5552970224452121,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,6,60.0,70.0,58,16,27.586206896551722,0.6463700635550851,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,7,70.0,80.0,58,30,51.724137931034484,0.7482846691426372,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,8,80.0,90.0,63,44,69.84126984126983,0.8645624632067977,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
8192,niah_multikey_1,9,90.0,100.0,35,25,71.42857142857143,0.9574844230172269,0,results/exp_a/mamba/8192/niah_multikey_1.pred.jsonl
16384,niah_single_1,0,0.0,10.0,41,41,100.0,0.051834283438816915,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,1,10.0,20.0,59,59,100.0,0.1417419504630998,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,2,20.0,30.0,52,52,100.0,0.24813344503843723,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,3,30.0,40.0,52,52,100.0,0.35512949591270293,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,4,40.0,50.0,60,60,100.0,0.4532645606865485,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,5,50.0,60.0,49,49,100.0,0.5541536314609946,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,6,60.0,70.0,41,41,100.0,0.6479539245170489,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,7,70.0,80.0,51,51,100.0,0.7446023312324509,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,8,80.0,90.0,58,58,100.0,0.849564279954671,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_single_1,9,90.0,100.0,37,37,100.0,0.9438739300567944,0,results/exp_a/mamba/16384/niah_single_1.pred.jsonl
16384,niah_multikey_1,0,0.0,10.0,50,0,0.0,0.046919011159109375,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,1,10.0,20.0,31,0,0.0,0.1523823699158343,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,2,20.0,30.0,66,0,0.0,0.242687140323611,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,3,30.0,40.0,45,0,0.0,0.3369626904154092,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,4,40.0,50.0,45,0,0.0,0.4425578932595488,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,5,50.0,60.0,52,1,1.9230769230769231,0.5448209709133486,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,6,60.0,70.0,49,3,6.122448979591836,0.6397686290699488,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,7,70.0,80.0,67,37,55.223880597014926,0.7472581787441428,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,8,80.0,90.0,51,34,66.66666666666667,0.859683180340653,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,9,90.0,100.0,44,32,72.72727272727273,0.9474467846580148,0,results/exp_a/mamba/16384/niah_multikey_1.pred.jsonl
