experiment,model,backend,context_len,batch_size,output_len,oom,avg_completion_ms,requests_per_s
backend_llama,llama31,hf,8192,1,1024,False,35511.10757732143,0.02816020407537453
backend_llama,llama31,hf,8192,2,1024,False,51242.24888905883,0.039030293642422276
backend_llama,llama31,hf,8192,4,1024,True,,
backend_llama,llama31,hf,16384,1,1024,False,50460.42572086056,0.01981751017593254
backend_llama,llama31,hf,16384,2,1024,True,,
backend_llama,llama31,vllm,8192,1,1024,False,20668.544746314485,0.04838270188866192
backend_llama,llama31,vllm,8192,2,1024,False,23081.961081984144,0.08664776645779858
backend_llama,llama31,vllm,8192,4,1024,False,27052.54251230508,0.14786041522032833
backend_llama,llama31,vllm,8192,8,1024,False,54197.3459366709,0.147609212542587
backend_llama,llama31,vllm,8192,16,1024,False,108302.2820983703,0.14773465534039712
backend_llama,llama31,vllm,16384,1,1024,False,22949.97515436262,0.04357303255870065
backend_llama,llama31,vllm,16384,2,1024,False,27477.318567534287,0.07278730720274172
backend_llama,llama31,vllm,16384,4,1024,False,54960.010842730604,0.07278018982119254
backend_llama,llama31,vllm,16384,8,1024,False,109901.38065908104,0.07279253725127476
backend_llama,llama31,vllm,16384,16,1024,False,219841.9027502338,0.07277957453154814
